,,,,,,,,,,train_loss,train_recon,train_kl,test_loss,test_loss,test_mlik,test_mlik,test_recon,test_recon
,,,,,,,,,,mean_pom_95ci,mean_pom_95ci,mean_pom_95ci,median,mean_pom_95ci,median,mean_pom_95ci,median,mean_pom_95ci
model,data_size,manifold,posterior,c,dec,hidden_dim,prior_std,enc,dec,,,,,,,,,
tree,[50],Euclidean,Normal,1.0,Linear,200,1.7,Linear,Linear,48.8±0.7 (n=3),45.1±0.6 (n=3),3.6±0.2 (n=3),38.41691038121728,38.4±0.4 (n=3),38.08825619682592,38.1±0.3 (n=3),35.666905268324605,35.7±0.2 (n=3)
tree,[50],Euclidean,Normal,1.0,Wrapped,100,1.7,Wrapped,Wrapped,49.5±0.4 (n=3),46.0±0.4 (n=3),3.5±0.2 (n=3),38.78889505276505,39.0±0.7 (n=3),38.54749238178992,38.6±0.8 (n=3),36.10969199934555,36.2±0.6 (n=3)
tree,[50],Euclidean,Normal,1.0,Wrapped,200,1.0,Wrapped,Wrapped,49.3±0.6 (n=6),45.6±0.6 (n=6),3.7±0.1 (n=6),39.128971439381544,39.0±0.7 (n=6),38.64895965416394,38.6±0.6 (n=6),36.34721654123037,36.3±0.7 (n=6)
tree,[50],Euclidean,Normal,1.0,Wrapped,200,1.7,Wrapped,Wrapped,48.8±0.4 (n=3),45.1±0.3 (n=3),3.7±0.2 (n=3),38.78014050229058,38.8±0.5 (n=3),38.41120950589005,38.4±0.5 (n=3),36.06131636534686,36.0±0.5 (n=3)
tree,[50],PoincareBall,WrappedNormal,1.2,Geo,200,1.7,Wrapped,Geo,48.1±0.1 (n=6),44.0±0.1 (n=6),4.1±0.2 (n=6),38.3932197930301,38.5±0.6 (n=6),37.73963105366492,37.8±0.4 (n=6),35.33132055791884,35.4±0.7 (n=6)
tree,[75],Euclidean,Normal,1.0,Linear,200,1.7,Linear,Linear,71.5±0.2 (n=5),67.2±0.4 (n=5),4.3±0.2 (n=5),56.445225580824605,56.5±0.5 (n=5),56.07639428583115,56.1±0.4 (n=5),53.14276474558246,53.3±0.5 (n=5)
tree,[75],Euclidean,Normal,1.0,Wrapped,200,1.7,Wrapped,Wrapped,71.4±0.4 (n=5),67.2±0.2 (n=5),4.2±0.2 (n=5),56.36365193471859,56.4±0.4 (n=5),55.92474844568063,55.9±0.3 (n=5),53.26975366083115,53.2±0.4 (n=5)
tree,[75],PoincareBall,WrappedNormal,1.2,Geo,200,1.7,Wrapped,Geo,69.8±0.4 (n=5),65.3±0.3 (n=5),4.6±0.1 (n=5),55.62926415248691,55.7±0.4 (n=5),54.84933327879581,54.9±0.3 (n=5),52.213849292375656,52.1±0.5 (n=5)
tree,[80],Euclidean,Normal,1.0,Wrapped,200,1.7,Wrapped,Wrapped,76.1±0.3 (n=5),71.8±0.2 (n=5),4.3±0.2 (n=5),59.97496472104058,60.1±0.6 (n=5),59.50521259407723,59.6±0.7 (n=5),56.81545269551702,56.8±0.8 (n=5)
tree,[80],PoincareBall,WrappedNormal,1.2,Geo,200,1.7,Wrapped,Geo,74.2±0.8 (n=5),69.4±0.6 (n=5),4.8±0.3 (n=5),59.063389643324605,59.1±0.9 (n=5),58.27238424410995,58.3±0.7 (n=5),55.29811743291885,55.4±0.7 (n=5)
